Date,Hour,TOTAL,ABKENORA,ADELAIDE,AGUASABON,ALEXANDER,AMARANTH,APIROQUOIS,ARMOW,ARNPRIOR,ATIKOKAN-G1,AUBREYFALLS,BARRETT,BECK1,BECK2,BECK2 PGS,BELLE RIVER,BLAKE,BORNISH,BOW LAKE,BOW LAKE 2,BRIGHTON BEACH,BRUCEA-G1,BRUCEA-G2,BRUCEA-G3,BRUCEA-G4,BRUCEB-G5,BRUCEB-G6,BRUCEB-G7,BRUCEB-G8,CALSTOCKGS,CAMERONFALLS,CANYON,CARDINAL,CARIBOUFALLS,CARMICHAEL,CEDAR POINT 2,CHATSFALLS,CHENAUX,CLERGUE,COMBER,DA WATSON,DARLINGTON-G1,DARLINGTON-G2,DARLINGTON-G3,DARLINGTON-G4,DECEWFALLS,DECEWND1,DESJOACHIMS,DESTEC,DILLON,DOWCHEMICAL,DPNTMTLND,EARFALLS,EAST LAKE,EAST WINDSOR-G1,EAST WINDSOR-G2,ERIEAU,FORTFRANCSWC,GARTSHORE,GOSFIELDWGS,GOSHEN,GOULAIS,GRAND VALLEY 3,GRANDSF,GRANDWF,GREENFIELD ENERGY CENTRE-G1,GREENFIELD ENERGY CENTRE-G2,GREENFIELD ENERGY CENTRE-G3,GREENFIELD ENERGY CENTRE-G4,GREENFIELD SOUTH-G1,GREENFIELD SOUTH-G2,GREENWICH,GTAA-G1,GTAA-G2,GTAA-G3,HALTONHILLS-LT_G1,HALTONHILLS-LT_G2,HALTONHILLS-LT_G3,HARMON,HARMON 2,HARRIS,HOLDEN,HOLINGSWTH,JERICHO,K2WIND,KAKABEKA,KAPGS,KINGSBRIDGE,KINGSTONSF,KIPLING,KIPLING 2,LAKESUPERIOR,LANDON,LENNOX-G1,LENNOX-G2,LENNOX-G3,LENNOX-G4,LITTLELONG,LITTLELONG 2,LONGSAULTE,LOWER WHITE RIVER,LOWERNOTCH,MACKAYGS,MANITOUFALLS,MCLEANSMTNWF-LT_AG_T1,MISSION,MTNCHUTE,NAGAGAMI,NIPIGONGS,NORTHBAYGS,NORTHLAND POWER SOLAR FACILITIES,NPCOCHRANE,NPIROQFALLS,NPKIRKLAND-G1-G5,NPKIRKLAND-G6,OTTERRAPIDS,PAROCHES,PETER SUTHERLAND SR,PICKERINGA-G1,PICKERINGA-G4,PICKERINGB-G5,PICKERINGB-G6,PICKERINGB-G7,PICKERINGB-G8,PINEPORTAGE,PORT BURWELL,PORTALMA-T1,PORTALMA-T3,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,PRINCEFARM,RAILBEDWF-LT_AG_SR,RAYNER,REDROCK,RIPLEY SOUTH,SANDUSK-LT_AG_T1,SAUNDERS,SHANNON,SILVERFALLS,SITHE GOREWAY-G11,SITHE GOREWAY-G12,SITHE GOREWAY-G13,SITHE GOREWAY-G15,SMOKY 2,SOUTHGATE SF,SPENCE,STCLAIRCGS,STEEPHILL,STEWARTVLE,SUMMERHAVEN,TADOUGLAS,TAOHSC,TASARNIA,TAWINDSOR,TBAYBOWATER CTS,THOROLDCGS,THUNDERBAY-G3,TUNISGS,UMBATAFALLS,UNDERWOOD,UPPER WHITE RIVER,WELLS,WEST LINCOLN NRWF,WESTWINDSOR,WHITBYCGS,WHITEDOG,WINDSOR AIRPORT SF,WOLFE ISLAND,YORKCGS-G1,YORKCGS-G2,ZURICH
1-Jan-17,1,16715,13,10,15,44,142,36,0,0,0,0,0,132,988,0,,58,48,2,3,0,778,770,781,793,821,814,823,816,1,57,0,0,40,0,0,24,31,54,43,20,890,0,868,892,71,16,0,0,56,13,0,24,39,0,0,41,0,0,11,99,13,37,0,127,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,3,0,20,135,127,15,0,33,0,0,0,0,37,0,0,0,0,0,0,12,5,0,0,39,43,3,0,5,0,0,0,0,1,38,0,0,30,,512,509,491,512,0,522,55,50,52,44,0,0,0,74,82,0,0,48,83,648,80,21,0,0,0,0,0,,39,0,3,0,106,0,0,125,0,0,0,0,0,12,146,3,0,182,0,57,46,,174,0,0,98
1-Jan-17,2,16344,13,0,14,44,125,36,0,0,0,0,0,131,1064,0,,58,42,8,13,0,778,770,781,793,821,814,823,816,1,57,0,0,40,0,0,24,31,51,42,20,891,0,868,892,70,16,0,0,45,14,0,24,35,0,0,36,0,0,10,94,14,35,0,99,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,3,0,20,112,97,15,0,32,0,0,0,0,28,0,0,0,0,0,0,13,5,0,0,38,21,3,0,5,0,0,0,0,0,39,0,0,23,,512,508,492,511,0,521,54,36,29,29,0,0,0,70,12,0,0,41,69,646,74,21,0,0,0,0,0,,14,0,3,0,73,0,0,125,0,0,0,0,0,12,107,3,0,152,0,57,47,,179,0,0,98
1-Jan-17,3,15942,13,0,14,44,92,36,0,0,0,0,0,132,1002,0,,39,40,10,19,0,778,770,781,793,822,814,823,817,1,58,0,0,40,0,0,24,16,50,56,21,891,0,869,893,70,16,0,0,32,13,0,24,34,0,0,39,0,0,15,95,12,28,0,81,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,0,20,105,8,15,0,35,0,0,0,0,30,0,0,0,0,0,0,12,5,0,0,38,11,3,0,5,0,0,0,0,0,39,0,0,15,,511,509,492,512,0,521,55,28,30,16,0,0,0,52,0,0,17,47,34,647,67,20,0,0,0,0,0,,12,0,3,0,42,0,0,125,0,0,0,0,0,12,97,3,0,114,0,57,46,,188,0,0,98
1-Jan-17,4,15727,13,0,14,45,87,36,0,0,0,0,0,132,1024,0,,51,27,14,26,0,778,771,781,793,824,815,823,817,1,58,0,0,41,0,0,24,16,52,23,21,893,0,869,894,70,16,0,0,16,14,0,25,19,0,0,19,0,0,3,89,9,27,0,55,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,20,62,16,15,0,34,0,0,0,0,18,0,0,0,0,0,0,12,5,0,0,38,14,3,0,5,0,0,0,0,0,40,0,0,8,,512,510,494,514,0,522,55,25,17,17,0,0,0,37,0,0,17,48,38,648,44,21,0,0,0,0,0,,11,0,3,0,36,0,0,125,0,0,0,0,0,12,111,3,0,93,0,57,47,,186,0,0,94
1-Jan-17,5,15653,13,0,14,44,62,36,0,0,0,0,0,132,997,0,,53,15,12,28,0,778,773,780,791,824,816,823,817,1,58,0,0,41,0,0,48,18,52,16,21,893,0,869,895,70,16,0,0,13,14,0,25,22,0,0,18,0,0,3,66,12,24,0,50,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,20,37,98,15,0,29,0,0,0,0,13,0,0,0,0,0,0,12,5,0,0,38,12,3,0,5,0,0,0,0,0,39,0,0,6,,513,510,494,513,0,522,55,12,14,14,0,0,0,55,23,0,0,48,37,650,29,20,0,0,0,0,0,,8,0,3,0,34,0,0,125,0,0,0,0,0,12,109,3,0,79,0,57,47,,184,0,0,85
1-Jan-17,6,15442,13,0,14,45,87,36,0,0,0,0,0,132,984,0,,32,7,10,26,0,778,772,780,791,823,816,823,817,1,58,0,0,40,0,0,49,19,50,13,28,893,0,868,895,70,16,0,0,15,13,0,25,17,0,0,17,0,0,2,42,12,22,0,48,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,20,32,3,15,0,24,0,0,0,0,12,0,0,0,0,0,0,12,5,0,0,38,18,3,0,5,0,0,0,0,0,39,0,0,7,,513,511,495,514,0,522,54,12,16,12,0,0,0,72,0,0,0,47,36,652,30,21,0,0,0,0,0,,5,0,3,0,34,0,0,125,0,0,0,0,0,11,113,3,0,76,0,57,47,,163,0,0,57
1-Jan-17,7,15497,13,0,14,45,82,37,1,0,0,0,0,133,999,0,,8,9,12,30,0,778,770,780,791,823,815,822,816,1,58,0,0,41,0,1,49,33,50,15,36,893,0,868,894,70,16,0,0,16,13,0,25,20,0,0,22,0,0,7,10,17,22,0,57,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,20,16,39,15,0,15,0,0,0,0,10,0,0,0,0,0,0,12,5,0,0,38,16,4,0,5,0,0,0,0,0,40,0,0,6,,513,511,499,514,0,522,55,11,10,10,0,0,0,100,4,0,0,36,40,655,52,20,0,0,0,0,0,,15,0,3,0,32,0,0,125,0,0,0,0,0,12,97,3,0,94,0,57,47,,165,0,0,32
1-Jan-17,8,15791,13,11,15,45,72,71,29,0,0,0,0,136,1062,0,,18,23,15,32,0,778,771,780,791,823,814,822,816,1,58,0,0,40,0,20,49,63,51,28,36,893,0,868,894,71,16,8,0,8,13,0,25,29,0,0,16,0,0,8,22,18,22,0,53,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,20,52,76,15,0,9,0,0,0,0,19,0,0,0,0,0,0,11,5,0,0,42,24,4,0,4,0,0,0,0,0,41,0,0,8,,512,511,501,514,0,522,54,10,7,13,0,0,0,80,35,0,18,21,25,654,61,21,0,0,0,0,0,,28,0,3,0,27,0,0,125,0,0,0,0,0,12,80,3,0,88,0,57,47,,147,0,0,21
1-Jan-17,9,15634,13,11,14,44,61,74,8,0,0,0,0,135,992,0,,19,27,16,27,0,778,770,781,791,823,814,822,816,1,58,0,0,41,0,7,49,64,50,20,36,893,0,869,895,71,16,12,0,10,13,0,24,25,0,0,10,0,0,6,43,16,24,12,34,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,20,67,65,15,0,9,9,0,0,0,23,0,0,0,0,0,0,11,5,0,0,45,34,4,0,5,0,0,0,0,0,41,0,0,9,,513,510,500,514,0,520,54,19,11,16,0,0,0,52,35,0,18,12,22,713,53,21,0,0,0,0,0,,22,0,3,0,17,0,0,125,0,0,0,0,0,12,59,3,0,95,0,57,47,,74,0,0,29
1-Jan-17,10,15968,13,16,14,45,76,74,68,0,0,0,0,135,996,0,,25,21,15,21,0,777,770,781,791,823,815,822,816,1,57,0,0,47,0,41,25,50,52,12,36,893,0,869,895,71,16,100,0,8,13,0,25,25,0,0,15,0,0,4,27,12,21,49,18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,159,20,60,118,15,0,13,13,0,0,0,17,0,0,0,0,0,0,11,5,0,0,43,28,4,0,5,0,0,0,0,0,41,0,0,6,,512,510,500,513,0,522,54,22,7,10,0,0,0,55,59,0,18,24,13,773,64,21,0,0,0,0,0,,16,0,3,0,9,0,0,125,0,0,0,0,0,12,65,3,0,43,0,57,47,,16,0,0,30
