latitude,longitude,station_name,station_type,station_alt_name,in_dataset
43.100099,-81.634304,ADELAIDE,Wind,,1
44.104724,-80.618731,AMARANTH,Wind,,1
44.136418,-76.736188,AMHERST ISLAND,Wind,,1
44.228352,-81.42966,ARMOW,Wind,,1
42.29312,-82.712032,BELLE RIVER,Wind,,1
43.07147,-81.594138,BLAKE,Wind,,1
43.097397,-81.67505,BORNISH,Wind,,1
46.980829,-84.499325,BOW LAKE,Wind,,1
46.97591,-84.413838,BOW LAKE 2,Wind,,1
43.07448,-81.782279,CEDAR POINT 2,Wind,,1
42.027568,-82.526018,COMBER,Wind,,1
42.38614,-81.91406,DILLON,Wind,,1
42.480074,-82.369069,EAST LAKE,Wind,,1
42.443044,-81.783083,ERIEAU,Wind,,1
42.109364,-82.874555,GOSFIELDWGS,Wind,,1
44.088451,-81.617801,GOSHEN,Wind,,1
46.798876,-84.336075,GOULAIS,Wind,,1
44.160906,-79.998004,GRAND VALLEY 3,Wind,,1
42.882627,-79.811703,GRANDWF,Wind,,1
48.830881,-88.35391,GREENWICH,Wind,,1
46.036911,-80.667584,HENVEY NORTH,Wind,,1
45.958682,-80.554974,HENVEY SOUTH,Wind,,1
43.109145,-81.87026,JERICHO,Wind,,1
44.16928,-81.498324,K2WIND,Wind,,1
43.922258,-81.666209,KINGSBRIDGE,Wind,,1
44.364949,-76.081483,LANDON,Wind,,1
45.939041,-82.02618,MCLEANSMTNWF-LT.AG_T1,Wind,,1
42.620553,-82.203193,NORTH KENT,Wind,,1
42.363646,-82.372326,PAROCHES,Wind,,1
42.660082,-80.798203,PORT BURWELL,Wind,,1
42.184041,-82.285049,PORTALMA-T1,Wind,,1
42.249796,-82.129755,PORTALMA-T3,Wind,,1
46.765492,-84.481987,PRINCEFARM,Wind,,1
42.295265,-82.269717,RAILBEDWF-LT.AG_SR,Wind,,1
44.003561,-81.387088,RIPLEY SOUTH,Wind,,1
42.858373,-80.037942,SANDUSK-LT.AG_T1,Wind,,1
42.876798,-79.505367,SHANNON,Wind,,1
42.529378,-81.587732,SPENCE,Wind,,1
42.840521,-79.93821,SUMMERHAVEN,Wind,,1
44.566871,-81.30057,UNDERWOOD,Wind,,1
43.062887,-79.577023,WEST LINCOLN NRWF,Wind,,1
44.168768,-76.411576,WOLFE ISLAND,Wind,,1
43.411785,-81.611325,ZURICH,Wind,,1
42.804134,-80.141972,PORT DOVER AND NANTICOKE,Wind,,0
44.215672,-80.224144,DUFFERIN,Wind,,0
42.295265,-82.269717,SOUTH KENT,Wind,RAILBED,0
42.876798,-79.505367,NIAGRA REGION,Wind,SHANNON,0
43.07147,-81.594138,BLUEWATER WIND ENERGY CENTRE,Wind,BLAKE,0
42.261595,-82.960783,WINDSOR AIRPORT SF,Solar,,1
42.892604,-79.811435,GRANDSF,Solar,,1
44.122166,-80.528346,SOUTHGATE SF,Solar,,1
44.305387,-76.664947,KINGSTONSF,Solar,,1
42.823289,-80.087127,NANTICOKE SOLAR,Solar,,1
44.439609,-76.973647,STONE MILLS SF,Solar,,1
49.02435,-80.880432,NORTHLAND POWER SOLAR FACILITIES,,,1
49.02435,-80.880432,Northland Power Solar Abitibi,Solar,NORTHLAND POWER SOLAR FACILITIES,0
44.686606,-76.763614,Northland Power Solar Long Lake,Solar,,0
49.249124,-91.147868,Northland Power Solar Martin's Meadows,Solar,,0
42.696414,-80.976753,Silver Creek Solar Park,Solar,,0
46.928595,-79.445119,"Liskeard 1,3 and 4",Solar,,0
