,af_station_id,ncdc_station_id,station_name,country_id,airport_id,latitude,longitude,elevation,begin,end
15620,710630,99999,OTTAWA CDA RCS  ONT,CA,,45.383,-75.717,79.0,1977-07-01,2019-04-22
15811,711610,99999,BROCKVILLE CLIMATE,CA,CTBO,44.633,-75.733,120.0,1993-07-01,2019-04-22
15823,711710,99999,VINELAND STATION RCS  O,CA,CXVN,43.183,-79.4,79.0,2004-05-10,2019-04-22
15824,711720,99999,PARRY SOUND CCG  ONT,CA,CXPC,45.333,-80.033,176.0,2004-08-03,2019-04-22
15857,711960,99999,PEMBROKE CLIMATE,CA,,45.867,-77.25,162.0,1959-11-17,2019-04-22
15944,712610,99999,GODERICH  ONT,CA,CWGD,43.766999999999996,-81.717,214.0,1981-10-26,2019-04-22
15945,712625,99999,NIAGARA DISTRICT,CA,CYSN,43.192,-79.172,97.8,1983-12-22,2019-04-22
15946,712630,99999,HAMILTON,CA,CYHM,43.174,-79.935,237.7,1993-05-20,2019-04-22
15949,712643,99999,BUTTONVILLE MUNI,CA,CYKZ,43.861999999999995,-79.37,198.1,1986-06-20,2019-01-03
15950,712650,99999,TORONTO CITY CENTRE,CA,CYTZ,43.617,-79.383,76.5,1979-05-07,2019-04-22
15955,712700,99999,COLLINGWOOD  ONT,CA,CWCO,44.5,-80.217,180.0,1994-12-01,2019-04-22
15968,712820,99999,LAGOON CITY  ONT,CA,CWGL,44.533,-79.217,221.0,1994-12-01,2019-04-22
15982,712940,99999,BANCROFT AUTO  ONT,CA,CWRK,45.067,-77.867,331.0,2001-09-16,2019-04-22
15984,712960,99999,EGBERT CS  ONT,CA,CXET,44.233000000000004,-79.783,251.0,2004-08-24,2019-04-22
15985,712970,99999,HAMILTON RBG CS  ONT,CA,CXHM,43.283,-79.9,102.0,2004-08-03,2019-04-22
15986,712980,99999,HARROW CDA AUTO,CA,CXHA,42.033,-82.9,191.0,2003-06-17,2019-04-22
15988,713000,99999,KEMPTVILLE CS  ONT,CA,CXKE,45.0,-75.633,99.0,2004-08-24,2019-04-22
15991,713030,99999,POINT PELEE CS  ONT,CA,CXPT,41.933,-82.51700000000001,177.0,2004-08-24,2019-04-22
15993,713041,99999,MOOSE CREEK,CA,CTCK,45.25,-74.967,85.0,2005-01-01,2019-04-22
15998,713070,99999,RIDGETOWN RCS  ONT,CA,CXRG,42.45,-81.883,206.0,2004-05-10,2019-04-22
16005,713140,99999,BARRIE-ORO,CA,CXBI,44.48,-79.55,289.0,2004-09-21,2019-04-22
16046,713520,99999,ELORA RCS  ONT,CA,CZEL,43.65,-80.417,376.0,2004-06-08,2019-04-22
16063,713680,99999,WATERLOO,CA,CYKF,43.461000000000006,-80.37899999999999,321.3,1993-05-20,2019-04-22
16078,713760,99999,ST JOVITE  QUE,CA,CWJT,46.067,-74.55,239.0,1993-03-20,2019-04-22
16093,713910,99999,HIGH FALLS  QC,CA,CXHF,45.833,-75.633,195.0,2001-09-16,2019-04-22
16151,714300,99999,POINT PETRE (AUT)  ONT,CA,CWQP,43.833,-77.15,79.0,1977-06-11,2019-04-22
16152,714310,99999,COBOURG (AUT)  ONT,CA,CWNC,43.95,-78.167,78.0,1977-06-11,2019-04-22
16153,714320,99999,PORT WELLER (AUT)  ONT,CA,CWWZ,43.25,-79.217,79.0,1977-06-11,2019-04-22
16161,714360,99999,PETERBOROUGH,CA,CYPQ,44.23,-78.363,191.4,1980-10-11,2019-04-22
16163,714370,99999,BURLINGTON PIERS (AUT),CA,CWWB,43.3,-79.8,77.0,1991-05-01,2019-04-22
16165,714380,99999,WESTERN ISLAND (AUT)  O,CA,CWMZ,45.033,-80.367,191.0,1984-06-07,2019-04-22
16166,714390,99999,COVE ISLAND (AUT)  ONT,CA,CWWX,45.333,-81.733,181.0,1985-09-10,2019-04-22
16190,714600,99999,KILLARNEY (AUT)  ONT,CA,CWBE,45.967,-81.483,196.0,1985-09-10,2019-04-22
16193,714620,99999,GREAT DUCK ISLAND,CA,CWNL,45.633,-82.96700000000001,183.0,1985-02-08,2019-04-22
